prompt,response
  S . . . Spider-Man.," Not in that onesie, you're not."
" It's not a onesie.  I don't believe this. I was actually having a real good day today, you know, Mr. Stark. Didn't miss my train, this perfectly good DVD player was just sitting there and . . . Algebra test. Nailed it!", Who else knows? Anybody?
 Nobody., Not even your . . . unusually attractive aunt?
" No. No, no. No, no. If she knew, she would freak out. And when she freaks out, I freak out.", You know what I think is really cool? This webbing. That tensile strength is off the charts. Who manufactured that?
 I did.," Climbing the walls, how you doing that? Adhesive gloves?"
 It's a long story. I was uh . . ., Lordy! Can you even see in these?
" Yes. Yes, I can! I can. I can-I can see in those. Okay? It's just that… when whatever happened, happened . . . it's like my senses have been dialed to 11. There's way too much input, so . . . they just kinda help me focus."," You're in dire need of an upgrade. Systemic, top to bottom. 100-point restoration. That's why I'm here.  Why you doing this? I gotta know. What's your MO? What gets you outta that twin bed in the morning?"
" Because . . .  because l've been me my whole life, and l've had these powers for 6 months.", Mm-Hmm.
" I read books, I build computers . . . and--and yeah. I would love to play football. But I couldn't then so I shouldn't now."," Sure, because you're different."
" Exactly. But I can't tell anybody that, so I'm not. When you can do the things that I can, but you don't . . .  and then the bad things happen . . . they happen because of you.","  So you wanna look out for the little guy? You wanna do your part? Make the world a better place, all that, right?"
 Yeah. Yeah just looking out . . . for the little guy. That's--that's what it is.,"  I'm gonna sit here, so you move the leg.  You got a passport?"
" Uh, no. I don't even have a driver's license.", You ever been to Germany?
 No.," Oh, you'll love it."
 I can't go to Germany!, Why?
 I got . . . homework., I'm gonna pretend you didn't say that.
 I'm---I'm being serious! I can't just drop out of school!, Might be a little dangerous. Better tell Aunt Hottie I'm taking you on a field trip.
  Don't tell Aunt May.," Alright, Spider-Man.  Get me out of this."
 Suit up.," Wow, it's so weird how you run into people at the airport. Don't you think that's weird?"
 Your highness.," Anyway, Ross gave me 36 hours to bring you in. That was 24 hours ago. Can you help a brother out?"
 You're after the wrong guy., Your judgment is askew. Your old war buddy killed innocent people yesterday.
 Steve . . . you know what's about to happen. Do you really wanna punch your way out of this one?," All right, I've run out of patience. Underoos!  Nice job, kid."
" Thanks. Well, I could've stuck the landing a little better. It's just the new suit… Well, it's nothing, Mr. Stark. It's--it's perfect. Thank you."," Yeah, we don't really need to start a conversation."
" Okay. Cap . . . Captain. Big fan, I'm Spider-Man."," Yeah, we'll talk about it later. Just . . ."
" Hey, everyone.", . . . Good job.
 You've been busy.," And you've been a complete idiot. Dragging in Clint. 'Rescuing' Wanda from a place she doesn't even want to leave, a safe place. I'm trying to keep . . . I'm trying to keep you from tearing the Avengers apart."
 You did that when you signed.," Alright, We're done. You're gonna turn Barnes over, you're gonna come with us. NOW! Because it's us! Or a squad of J-SOC guys . . . with no compunction about being impolite.  Come on."
"  I believe this is yours, Captain America."," Oh, great. Alright, there's two on the parking deck. One of them's Maximoff, I'm gonna grab her. Rhodey, you want to take Cap?"
" Hey, Mr. Stark, what should I do?", What we discussed. Keep your distance. Web 'em up.
" Sorry, Cap. This won't kill you but it ain't gonna tickle either. ","  Wanda, I think you hurt Vision's feelings."
 You locked me in my room.," Okay. First, that's an exaggeration. Second, I did it to protect you. Hey, Clint."
" Hey, man."," Clearly, retirement doesn't suit you. You got tired of shooting golf?"
" Well, I played 18, I shot 18. Just can't seem to miss. ", First time for everything.
 Multiple contusions detected.," Yeah, I detected that too."
"  Is this, part of the plan?"," Well, my plan was to go easy on them. You wanna switch it up?"
 They're not stopping., Neither are we. 
 Brooklyn. ,  Friday?
 We have some weapon systems offline., They what?
" Oh, you're gonna have to take this into the shop.", Who's speaking?
 It's your conscience. We don't talk a lot these days., Friday?
" Way to go, Tic Tac!", Give me back my Rhodey. 
 I got him! ," Okay, anybody on our side hiding any shocking and fantastic abilities they'd like to disclose, I'm open to suggestion."
" Jesus, Tony, how old is this guy?"," I don't know, I didn't carbon-date him. He's on the young side."
  You know that part . . . where they're on the snow planet . . . with the walking thingies? , Maybe the kid's on to something.
 Does anyone have any orange slices?,"  Kid, you alright?"
 Hey! Get off me!, Same side. Guess who. Hi. It's me.
" Oh. Hey, man.", Yeah.
 That was scary., Yeah. You're done. Alright?
 What?, You did a good job. Stay down.
" No, I'm good. I'm fine.", Stay down.
" No, it's good I gotta get him back!", You're going home or I'll call Aunt May! You're done!
" Vision, I got a bandit on my six.  Vision! You copy? Target his thrusters, turn him into a glider.", Rhodey! 
" Tony, I'm flying dead stick. ", RHODES!  Read vitals.
 I know. But I did it., How did this happen?
 I became distracted., I didn't think that was possible.
 Neither did I. , The doctors say he shattered L4 through S1. Extreme laceration in the spinal cord. Probably looking at some form of paralysis.
" Steve's not gonna stop. If you don't either, Rhodey's gonna be the best case scenario."," You let them go, Nat."
 We played this wrong.," 'We'? Boy, it must be hard to shake the whole double agent thing, huh? It sticks in the DNA."
 Are you incapable of letting go of your ego for one goddamn second?," T'Challa told Ross what you did, so . . . they're coming for you."
 I'm not the one that needs to watch their back. ,"  What am I looking at, Friday?"
 Priority upload from Berlin police., Fire up the chopper.
 The Task Force called for a psychiatrist as soon as Barnes was captured. The UN dispatched Dr. Theo Broussard from Geneva within the hour. He was met by this man., Did you run facial recognition yet?
 What do I look like?," Uh, I don't know. I've been picturing a red head."
 You must be thinking of someone else., Must be.
" The fake doctor is actually Colonel Helmut Zemo, Sokovian Intelligence.  Zemo ran Echo Skorpion, a Sokovian covert kill squad."," So, what happened to the real Broussard?"
 He was found dead in a Berlin hotel room. Where police also found a wig and facial prosthesis approximating the appearance of one James Buchanan Barnes., Son of a bitch. Get this to Ross.
"  This is the Raft Prison Control. You're clear for landing, Mr. Stark."," So? You got the files? Let's reroute the satellites, start facial scanning for this Zemo guy."
"  The Futurist, gentlemen! The Futurist is here! He sees all! He knows what's best for you, whether your like it or not."," Give me a break, Barton. I had no idea they'll put you here. Come on."
"  Yeah, well, you knew they'd put us somewhere, Tony."," Yeah, but not some super-max floating ocean pokey. You know, this place is for maniacs. This is a place for . . ."
" Criminals?  Criminals, Tony. Think that's the word you're looking for.  Right? That didn't used to mean me. Or Sam, or Wanda. But here we are.", Because you broke the law.
 Yeah., I didn't make you.
" La, la, la, la, la . . ."," You read it, you broke it."
" La, la, la, la la…"," Alright, you're all grown up, you got a wife and kids. I don't understand, why didn't you think about them before you chose the wrong side? "
" Hank Pym always said, you never can trust a Stark.", Who are you?
 How's Rhodes?, They're flying him to Columbia Medical tomorrow. So . . . fingers cross. What do you need? They feed you yet?
  You're the good cop now?, I'm just the guy who needs to know where Steve went.
" Well, you better go get a bad cop, because you're gonna have to go Mark Fuhrman on my ass to get information out of me."," Oh, I just knocked the 'A' out of their 'AV'. We got about 30 seconds before they realize it's not their equipment."
  What did you do? Get it back up!,"  Just look. Because that is the fellow who was supposed to interrogate Barnes.  Clearly, I made a mistake. Sam, I was wrong."
 That's a first., Cap is definitely off the reservation but he's about to need all the help he can get. We don't know each other very well. You don't have to…
" Hey, it's alright.  Look, I'll tell you… but you have to go alone and as a friend.", Easy.
 Stark? Did he give you anything on Rogers?," Nope. Told me to go to hell. I'm going back to the compound instead, but you can call me anytime. I'll put you on hold, I like to watch the line blink. "
 Yeah., You seem a little defensive.
 It's been a long day.," At ease, Soldier. I'm not currently after you."
 Then why are you here?," Could be your story's not so crazy. Maybe. Ross has no idea I'm here. I'd like to keep it that way. Otherwise, I gotta arrest myself."
" Well, that sounds like a lot of paperwork.  It's good to see you, Tony."," You too, Cap.  Hey, Manchurian Candidate, you're killing me. There's a truce here. You can drop . . . "
iron man, I got heat signatures.
 How many?," Uh, one."
" I'm grateful to them, though. They brought you here.  Please, Captain. The Soviets built this chamber to withstand the launch blast of UR-100 rockets.", I'm betting I could beat that.
  I lost everyone. And so will you.  An empire toppled by its enemies can rise again. But one which crumples from within? That's dead . . . forever.,  I know that road. What is this?
 Tony. Tony.,  Did you know?
 I didn't know it was him.," Don't bullshit me, Rogers! Did you know?"
" It wasn't him, Tony. Hydra had control of his mind!", Move!
 Left boot jet failing. Flight systems compromised., Ah crap.
 He's not going to stop. Go.," Come on, come on."
" Targeting system's knackered, boss.", I'm eyeballing it.  Do you even remember them?
 This isn't gonna change what happened., I don't care. He killed my mom.
 You can't beat him hand to hand., Analyse his fight pattern.
 Scanning!  Countermeasures ready.,  Let's kick his ass. 
 He's my friend., So was I.  Stay down. Final warning.
  I can do this all day., That shield doesn't belong to you.  You don't deserve it. My father made that shield! 
  Did it?, It's just the first pass.
 Yeah., Give me some feedback. Anything you can think of. Shock absorption. Lateral movement. Cup holder?
 You may wanna think about some AC down in . . . , Let's go. I'll give you a hand.
" No, no, don't. Don't help me. Don't help me.  138. 138 combat missions. That's how many I've flown, Tony. Every one of them could've been my last, but I flew 'em. Because the fight needed to be fought. It's the same with these Accords. I signed because it was the right thing to do. And, yeah, this sucks. This is . . . this is a bad beat. But it hasn't change my mind. I don't think. ", You okay?
 Priority call from Secretary Ross. There's been a breach at the Raft prison.," Yeah, put him through."
" Tony, we have a problem."," Ah, please hold."
" (whispers) Okay, there’s Captain America, Iron Man, Black Widow. Whoa. Who’s that new guy?", Underoos!
 We have thin walls here.," What are you doing, a little video diary?"
 (embarrassed) Yeah., It’s all right. I’d probably do the same.
 (from the driver’s seat) I told him not to do it. He was filming everything., It’s okay.
 I’m gonna wipe the chip.," Hey, hey, hey, hey, hey. You know what? We should actually... We should make an alibi video for your aunt anyway. You ready?"
" Yeah, hold on.", We rolling?
 An alibi? Sure., Get in the frame.
 Okay.," Hey, May. How you doing? What are you wearing? Something skimpy, I hope."
iron man," Peter, that’s inappropriate. All right, let’s start over. You can edit it."
 Mm-hmm.," Three, two, one. Hey, May. My gosh, uh, I wanted to tell you what an incredible job your nephew did this weekend at the Stark internship retreat. Everyone was impressed."
 Come on! It’s a freaking merge. (to Tony) I’m sorry.," This is because you’re not on Queens Boulevard. (to the camera) See, Happy is... is hoping to get bumped up to asset management. He was forehead of security, and before that, he was just a driver."
 That was a private conversation. I don’t like joking about this. It was hard for me to talk to you about that.," No, seriously, was he snoring a bunch?"
 All right. Here we are. End of the line. Whoops.," Happy, can you give us a moment?"
 You want me to leave the car?, Why don’t you grab Peter’s case out of the trunk.
 I can keep the suit?," Yes, we were just talking about it."
iron man," Do me a favor, though. Happy’s kind of your point guy on this. Don’t stress him out. Don’t do anything stupid. I’ve seen his cardiogram. All right?"
 (enthusiastically) Yes.," Don’t do anything I would do, and definitely don’t do anything I wouldn’t do. There’s a... There’s a little grey area in there, and that’s where you operate."
" Wait, does that mean that I’m an Avenger?", No.
 This it?, Seventh floor.
" So when’s, when’s our next... When’s our next “retreat,” you know? Like..."," What, next mission?"
" Yeah, the mission. The missions.", We’ll call you.
 Do you have my numbers?," No, I mean, we’ll call you. Like, someone will call you."
 Oh., All right?
 From your team., Okay.
iron man, It’s not a hug. I’m just grabbing the door for you. We’re not there yet.
], Bye.
" And then he just, he just, like, swooped down like a monster and he picked me up and, uh, he took me up, like, a thousand feet and just dropped me. How’d you find me? Did you put a tracker in my suit or something?", I put everything in your suit. Including this heater.
" Whew, that’s better. Thanks.", What were you thinking?
 The guy with the wings is obviously the source of the weapons. I gotta take him down.," Take him down now, huh? Steady, Crockett, there are people who handle this sort of thing."
 The Avengers?," No, no, no. This is a little below their pay grade."
" Anyway, Mr. Stark, you didn’t have to come all the way out here. I had that. I was fine."," Oh, I’m not here."
iron man, Thank God this place has Wi-Fi or you would be toast right now. Thank Ganesh while you’re at it.
iron man, Cheers.
iron man," Look, forget the flying vulture guy, please."
 Why?, Why? Because I said so!
iron man," Sorry, I’m talking to a teenager. (to Peter) Stay close to the ground. Build up your game helping little people, like that lady that bought you the churro. Can’t you just be a friendly..."
iron man, ...neighborhood Spider-Man?
 But I’m ready for more than that now.," No, you are not."
 That is not what you thought when I took on Captain America.," Trust me, kid. If Cap wanted to lay you out, he would’ve. Listen to me. If you come across these weapons again, call Happy."
 Are you driving?," You know, it’s never too early to start thinking about college. I got some pull at MIT. (at his phone) End call."
" No, no, no. No, no, don’t answer.", Mr. Parker. Got a sec?
" No, you’re not.", Nice work in D.C.
 Okay., My dad never really gave me a lot of support... And I’m just trying to break the cycle of shame.
" Uh, I’m kind of in the middle of something right now."," Don’t cut me off when I’m complimenting you. Anyway, great things are about to-"
iron man, What is that?
" Uh, I’m at band practice.", That’s odd. Happy told me you quit band six weeks ago. What’s up?
" I gotta go. Uh, end call.", Hey.
 What the hell...," Hi, Spider-Man. Band practice, was it?"
" Uh, Mr. Stark? Hey, Mr. Stark. Could I do anything? What do you want me to do?", I think you’ve done enough.
 (to Schultz) You in?," Previously on Peter Screws the Pooch: I tell you to stay away from this. Instead, you hacked a multimillion-dollar suit so you could sneak around behind my back doing the one thing I told you not to do."
 Is everyone okay?, No thanks to you.
" Those weapons were out there, and I tried to tell you about it. But you didn’t listen. None of this would’ve happened if you had just listened to me. If you even cared, you’d actually be here."," I did listen, kid. Who do you think called the FBI, huh? Do you know that I was the only one who believed in you? Everyone else said I was crazy to recruit a 14-year-old kid."
 I’m fifteen.," No, this is where you zip it, all right? The adult is talking. What if somebody had died tonight? Different story, right? ‘Cause that’s on you. And if you died, I feel like that’s on me. I don’t need that on my conscience."
" Yes, sir.", Yes.
" I, I’m sorry.", Sorry doesn’t cut it.
 I understand. I just wanted to be like you.," And I wanted you to be better. Okay, it’s not working out. I’m gonna need the suit back."
 For how long?, Forever.
iron man," Yeah. Yeah, that’s how it works."
" No, no, no... Please, please, please...", Let’s have it.
 You don’t understand. Please. This is all I have. I’m nothing without this suit.," If you’re nothing without this suit, then you shouldn’t have it. Okay? God, I sound like my dad."
 I don’t have any other clothes.," Okay, we’ll sort that out."
" Hello! Hello! Please. Hey, hey, please. I’m down here. I’m down here. I’m stuck. I’m stuck. I can’t move. I can’t..."," If you’re nothing without this suit, then you shouldn’t have it."
 You don’t see that every day.," Oh, there they are. How was the ride up?"
 Good., Give me a minute with the kid.
 Seriously?, Yeah. I gotta talk to the kid.
 I’ll be close behind., How about a loose follow? All right? Boundaries are good.
iron man," Sorry I took your suit. I mean, you had it coming. Actually, it turns out it was the perfect sort of tough-love moment that you needed, right? To urge you on, right? Wouldn’t you think? Don’t you think?"
" Yeah, yeah, I guess.", Let’s just say it was.
" Mr. Stark, I really-"," You screwed the pooch hard. Big time. But then you did the right thing. Took the dog to the free clinic, you raised the hybrid puppies... All right, not my best analogy. (beat) I was wrong about you. I think, with a little more mentoring, you could be a real asset to the team."
 To the... To the team?," Yeah. Anyway... (points at a door) There’s about fifty reporters behind that door. Real ones, not bloggers."
iron man, When you’re ready... Why don’t you try that on? And I’ll introduce the world to the newest official member of the Avengers: Spider-Man.
 I..., Yeah. Give that a look.
iron man," So, after the press conference, Happy will show you to your room, your new quarters. (to Happy) Where’s he between? He’s next to Vision?"
" Yeah, Vision’s not big on doors.", It’s fun.
 Or walls., (to Peter) You’ll fit right in.
" Thank you, Mr. Stark. But I’m good.", You’re good? Good? How are you good?
" Well, I mean, I’m... I’d rather just stay on the ground for a little while. Friendly neighborhood Spider-Man. Somebody’s got to look out for the little guy, right?"," You turning me down? You better think about this. (pointing at the new Spider-Man suit) Look at that. Look at me. Last chance, yes or no?"
 No.," Okay. It’s kind of a Springsteen-y, working class hero vibe that I dig. Uh, Happy will take you home. Yeah?"
" Thank you, Mr. Stark."," Yes, Mr. Parker. Very well."
 See you around., Okay.
" That was a test, right? There’s, uh, nobody back there?"," Yes, you passed. All right, skedaddle there, young buck."
" Thank you, Mr. Stark. Thank you."," Yeah, thank you."
 Everybody’s waiting., You know what? He actually made a really mature choice. It just surprised the heck out of us.
 Did you guys screw this up?, (points at Happy) He told the kid to go wait in the car.
 Are you kidding me? I have a room full of people in there waiting for some big announcement. What am I gonna tell them?," Think of something. How about, um... Hap, you still got that ring?"
" Do I... I, uh...", The engagement ring?
], Okay.
 I think I can think of something better than that.," Well, it would buy us a little time."
iron man, Like we need time.
 I can’t believe you have that thing in your pocket.," Want me to get the door for you, hon?"
 Avengers: Infinity War)," Slow down, slow down. I'm totally not kidding. Pepper Potts:  You're totally rambling."
iron man," No, I'm not."
 Lost me.," Look, you know how you're having a dream, and in the dream you gotta pee?"
 Yeah.," Okay, and then you're like, “Oh my god, there's no bathroom, what am I gonna do?” “Oh! Someone's watching.” “I'm gonna go in my pants.”"
" Right. And then you wake up, and in real life you actually have to pee.", Yes.
 Yeah. Everybody has that.," Right! That's the point I'm trying to make. Apropos of that, last night, I dreamt, we had a kid. So real. We named him after your eccentric uncle. Uh, what was his name?"
  Right., Morgan! Morgan.
" So you woke up, and thought that we were...", Expecting.
 Yeah.,  Yes?
 Shaking her head} No., I had a dream about it. It was so real.
" If you wanted to have a kid, you wouldn't have done that."," I'm glad you brought this up, 'cause it's nothing. It's just a housing unit for nano particles."
" It's not helping your case, OK?"," No, no, it's an attachment, it's not a-"
 {Insistently] You don't need that.," I know. I had the surgery. I'm just trying to protect us. The future, us, and that's it. Just in case there's a monster in the closet, instead of, you know..."
 Shirts?, You know me so well. You finish all my sentences.
 You should have shirts in your closet., Yeah. You know what there should be? No more surprises. We're gonna have a nice dinner tonight. Show off this Harry Winston. Right? And we should have no more surprises. Ever. I should promise you.
 Yes., I will. (Tony kisses Pepper.)
" Tony, I'm Doctor Stephen Strange. I need you to come with me. Oh, uh, congratulations on the wedding, by the way."," I'm sorry, you giving out tickets or something?"
" We need your help. Look, it's not overselling to say that the fate of the universe is at stake.", And who's “we”?
"  Hey, Tony.",  Bruce.
 Hi., You okay?
" Tell me his name again. Bruce Banner: Thanos. He's a plague, Tony. He invades planets, he takes what he wants, he wipes out half the population. He sent Loki! The attack on New York, that's him! Tony:  This is him...What's our timeline? Bruce Banner: No telling. He has the Power and Space Stones, that already makes him the strongest creature in the whole universe! If he gets his hands, on all six Stones, Tony... Doctor Strange: He can destroy life on a scale hither to undreamt of.",  Did you seriously just say “hither to undreamt of”?
 Are you seriously leaning on the Cauldron of the Cosmos?, Is that what this is...?
iron man,"  I'm going to allow that. If Thanos needs all six, why don't we just stick this one down the garbage disposal?"
 We swore an oath to protect the Time Stone. With our lives.," And I swore off dairy, but then, Ben & Jerry's named a flavor after me, so..."
 Stark Raving Hazelnuts., It's not bad.
 That's a thing?, Whatever. Point is: Things change.
 Our oath to protect the Time Stone cannot change. This Stone may be the best chance we have against Thanos.," And still conversely, it may also be his best chance against us."
" Well, if we don't do our jobs."," What is your job exactly, besides making balloon animals?"
" Okay, guys, can we quick cable this discussion right now? The fact is that we have the Stone. We know where it is. Vision is out there somewhere with the Mind Stone, and we have to find him now.","  Yeah, that's the thing."
 What do you mean?," Two weeks ago, Vision turned off his transponder. He's offline."
" What?! Tony, you lost another super bot?!", I didn't lose him. He's more than that. He's evolving.
" Who could find Vision, then?", Shit. Probably Steve Rogers.
"  Oh, great.", Maybe. But...
  Call him.," It's not that easy. God, we haven't caught up in a spell, have we?"
 No., The Avengers broke up. We're toast.
 Broke up? Like a band? Like The Beatles?, Cap and I fell out hard. We're not on speaking terms.
" Tony, listen to me. Thor's gone. Thanos is coming. It doesn't matter who you're talking to or not."," Say, Doc, you wouldn't happen to be moving your hair, would you?"
"  ... Not at the moment, no. ", You okay?
iron man," Help him! Wong, Doc."
 Go! Got it!,"  F.R.I.D.A.Y., what am I looking at?"
iron man," Hey! You might wanna put that Time Stone in your back pocket, Doc!"
 What's the matter with you kids? You've never seen a spaceship before?," F.R.I.D.A.Y., evac anyone south of 43rd Street, notify first responders."
" Hear me, and rejoice. You are about to die at the hands of the Children of Thanos. Be thankful, that your meaningless lives are now contributing to..."," I'm sorry, Earth is closed today. You better pack it up and get outta here."
 Certainly not. I speak for myself. But you're trespassing in this city and on this planet., It means get lost Squidward!
 He exhausts me. Bring me the Stone.," Banner, you want a piece?"
" No, not really, but when do I ever get what I want?", That's right.
iron man," Been a while. Good to have you, buddy."
" I just... I need to concentrate here for one second. Come on, come on, man.", Where's your guy?
 I don't know. We've sort been havin' a thing., There's no time for a thing.
 I know., That's the thing right there. Let's go.
iron man," {Glances at Strange] Dude, you're embarrassing me in front of the wizards."
" Tony, I'm sorry. (STAMMERS) Either I can't or he won't-"," It's okay. Hey, stand down.  Keep an eye on him. Thank you."
 Where'd that come from?, It's nano-tech. You like it? A little somet-
" Dr. Banner, if the rest of your green friend won't be joining us..."," Gotta get that stone outta here, now."
 It stays with me., Exactly. Bye.
" Tony, you okay? How we doing? Good? bad?"," Really, really good. Really good. Do you plan on helping out?"
 I'm trying. He won't come out., Hammer. 
" Hey, man. What's up, Mr. Stark?"," Kid, where'd you come from?"
" What is this guy's problem, Mr. Stark?", He's from space. He came here to steal a necklace from a wizard.
 You'll only wish you were dead. Strange falls unconscious and is Maw moves to grab him. The Cloak of Levitation flies Strange away} No!,"  Kid, that's the wizard. Get on it."
 Mr. Stark? I'm being beamed up.," Hang on, kid.  Give me a little juice, F.R.I.D.A.Y.  Unlock 17-A.  Pete, you gotta let go. I'm gonna catch you."
 But you said save the wizard!  I can't breathe!, You're too high up. You're running out of air.
" Mr. Stark, it smells like a new car in here!"," Happy trails, kid. F.R.I.D.A.Y, send him home."
" Tony? Oh, my God. Are you all right? What's going on?"," Yeah, I'm fine. I just think we might have to push our 8:30 res."
 Why?,  Just 'cause I'll... probably not make it back for awhile.
 Tell me you're not on that ship., Yeah.
" God, no. Please tell me you're not on that ship."," Honey, I'm sorry. I'm sorry, I don't know what to say."
" Come back here, Tony. I swear to God...", Pep...
" Yeah, uh, speaking of loyalty...", What the-
 I know what you're gonna say., You should not be here.
 I was gonna go home-, I don't wanna hear it.
 But it was such a long way down and I just thought about you on the way-, And now I gotta hear it.
" ...And I kinda stuck to the side of the ship. And this suit is ridiculously intuitive, by the way. So if anything, it's kinda your fault that I'm here.", (seriously) What did you just say?
 I take that back. And now I'm here in space., Yeah. Right where I don't want you to be. This isn't Coney Island. This isn't a field trip. It's one-way ticket. You hear me? Don't pretend like you thought this through. You could not have possibly thought this through.
 No. I did think this through., You could not have possibly thought this through.
" It's just- You can't be a friendly neighborhood Spider – Man when there's no neighborhood. (Pause) Okay. That didn't really make any sense, but you know what I'm trying to say.", Come on. We got a situation. See him down there? He's in trouble. What's your plan? Go.
 ...could end your friend's life in an instant.," I gotta tell you, he's not really my friend. Saving his life is more a professional courtesy."
 You've saved nothing. Your powers are inconsequential compared to mine.," Yeah, but the kid's seen more movies."
 We've gotta turn this ship around., Yeah. Now he wants to run. Great plan.
" No, I want to protect the stone.", And I want you to thank me. Go ahead. I'm listening.
 For what? Nearly blasting me into space?, Who just saved your magical ass? Me.
 I seriously don't know how you fit your head into that helmet., Admit it. You should have ducked out when I told you to. I tried to bench you. You refused.
" Unlike everyone else in your life, I don't work for you."," And due to that fact, we're now in a flying doughnut billions of miles away from Earth with no backup."
 I'm backup., No. You're a stowaway. The adults are talking.
" Oh we're using our made-up names. Um...I'm Spider-Man, then.", This ship is self-correcting its course. Thing's on autopilot.
 Can we control it? Fly us home? (Tony doesn't make eye contact.) Stark?, Yeah.
 Can you get us home?, Yeah I heard you. I'm thinking...I'm not so sure we should.
 Under no circumstance can we bring the Time Stone to Thanos. I don't think you quite understand what's at stake here.," No. It's you who doesn't understand. Thanos has been inside my head for six years...Since he sent an army to New York and now he's back! And I don't know what to do. So I'm not so sure if it's a better plan to fight him on out turf or his but you saw what they did, what he can do. At least on his turf, he's not expecting it. So I say we take the fight to him. Doctor. Do you concur?"
" (a pause) Alright , Stark. We go to him. But you have to understand...if it comes to saving you or the kid or the Time Stone... I will not hesitate to let either of you die. I can't, because the fate of the universe depends on it."," Good. Nice. Moral compass.We're straight. (Turning to Peter, he puts his outstretched arm briefly on either shoulder) Alright, kid. You're an Avenger now."
" (To Tony) Hey, what's going on?", I think we're here. I don't think this rig has a self-park function. (Instructing Peter to put his arm in the machine for piloting) Get your hand into this steering gimbal. Close those around it. You understand?
" Yep, got it."," This was meant for one big guy, so we gotta to move at the same time."
 Okay. Okay. Ready., We might wanna turn.
 Turn! Turn! Turn!, (To Strange) You alright?
iron man, That was close. I owe you one.
" Let me just say, if aliens wind up implanting eggs in my chest or something...And I end up eating you, I'm sorry.", (While pointing at Peter) I don't wanna hear another single pop culture out of you for the rest of the trip. You understand?
 Everybody stay where you are. Chill F out. (Quill powers off his helmet) I'm gonna ask you this one time. Where's Gamora?," Yeah, I'll do you one better. Who's Gamora?"
" Tell me where the girl is, or I swear to you, I'm gonna French fry this little freak."," Let's do it! You shoot my guy, I blast him. Let's go! (Tony extends his nanotech gun)"
 What master do I serve? What am I supposed to say? “Jesus”?, You're from Earth?
 I'm not from Earth. I'm from Missouri.," Yeah, that's on Earth dip-shit. What are you hassling us for?"
 You're the ones Thor told us about., You know Thor?
" Yeah. Tall guy, not the good-looking, needed saving.", Where is he now?
 The *heck* happened to this planet? It's eight degrees off its axis. Gravitational pull is all over the place.," Yeah, we got one advantage. He's coming to us. We'll use it. All right, I have a plan. Or at least the beginnings of one. It's pretty simple. We draw him in, pin him down, get what we need. Definitely don't wanna dance with this guy. We just need the gauntlet."
iron man," Are you yawning? In the middle of this, while I'm breaking it down? Huh? Did you hear what I said?"
" I stopped listening after you said, “We need a plan.”"," (To Quill) Okay, Mr. Clean is on his own page."
" (Quietly as he shifts to a commanding position beside Mantis) Yeah, that's right"," (Tony stands for a moment with an expression of hopelessness) Alright, just get over her, please. Mr. Lord can you get your folks to circle up?"
 “Mr. Lord.” Star-Lord is fine. (Motions to Drax and Mantis), We gotta coalesce. ‘Cause if all we come at him with is a plucky attitude..”
 Tell him about the dance-off to save the universe., What dance-off?
 It never was.," Don't encourage this, alright?"
 Okay., We're getting no help from Flash Gordon here.
" Flash Gordon? By the way, that's a compliment. Don't forget, I'm half human. (Quill points at Stark and Parker) So that 50% of me that's stupid... That's 100% you.", Your math is blowing my mind.
" Excuse me, but...Does your friend often do that?"," Strange, we alright?"
iron man, You're back. You're alright. Hi.
" 14,000,605.", How many did we win?
" Yeah, if your goal is to piss him off!", So this is it. It's all been leading to this.
  Quill...?," Steady, Quill."
  Mister Stark? I don't feel so good...,  You're all right.
 Wrra! ," You don't need to do that. Because uh... you're just holding position.  Oh yeah, that was close.  That's a goal. We're now one apiece."
 I would like to try again. , We're tied up. Feel the tension? It's fun.
iron man, That was terrible. Now you have a chance to win. 
iron man, And... you've won. Congratulations. 
iron man, Fair game. Good sport.  Have fun?
 It was fun.," This thing on?  Hey, Miss Potts... Pep. If you find this recording, don't post it on social media. It's gonna be a real tear-jerker. I don't know if you're ever going to see these. I don't even know if you're... if you're still... Oh god, I hope so. Today is day 21, uh 22.  You know, if it wasn't for the existential terror of staring into a void of space, I'd say I'm feeling better today. The infection's run its course, Thanks to the blue meanie back there.  You'd love her. Very practical. Only a tiny bit sadistic. Some fuel cells were cracked during battle, but we figured out a way to reverse the ion charge to buy ourselves about 48 hours of time.  But it's now dead in the water. We're 1000 light years from the nearest 7-11. Oxygen will run out tomorrow. And that'll be it. And Pep, I ... I know I said no more surprises, but I was really hoping to pull off one last one. But it looks like... well you know what it looks like. Don't feel bad about this. I mean, if you grovel for a couple of weeks, and then move on with enormous guilt. I should probably lie down. Please know that... when I drift off, I will think about you. Because it's always you."
iron man, Couldn't stop him.
 Neither could I., I lost the kid.
" Tony, we lost."," Is, uh...? "
" Oh, my God! Oh, my God! ", It's okay.
" World governments are in pieces. The parts that are still working are trying to take a census. And it looks like he did... he did exactly what he said he was gonna do. Thanos wiped out fifty percent, of all living creatures.", Where is he now? Where?
 We don't know. He just opened a portal and walked through., What's wrong with him?
" Oh, he's pissed. He thinks he failed. Which of course he did, but you know there's a lot of that's going around, ain't there?"," Honestly, until this exact second, I literaly thought you were a Build-A-Bear."
